MainTopic,SubTopic,Book,Chapter,Verse,Verses
People,Jesus Christ,1 Thessalonians,,,"1:1; 1:3; 3:11; 5:9; 5:23; 5:28"
People,Jesus Christ,2 Thessalonians,,,"1:1-2; 1:12; 2:1; 2:14; 2:16; 3:6; 3:12; 3:18"
People,Jesus Christ,1 Timothy,,,"1:1; 1:16; 5:21; 6:3; 6:14"
People,Jesus Christ,2 Timothy,,,"1:1; 2:8; 4:1; 4:22"
People,Jesus Christ,Titus,,,"1:1; 1:4; 2:13; 3:6"
People,Jesus Christ,Philemon,,,"1:3; 1:9; 1:25;"
People,Jesus Christ,Hebrews,,,"10:10; 13:8; 13:21"
People,Jesus Christ,James,,,"1:1; 2:1"
People,Jesus Christ,1 Peter,,,"1:1-3; 1:7; 1:13; 2:5; 3:21; 4:11"
People,Jesus Christ,1 Peter,,,"1:1; 1:8; 1:11; 1:14; 1:16; 2:20; 3:18"
People,Jesus Christ,1 John,,,"1:3; 1:7; 2:1; 3:23; 4:2-3; 5:6; 5:20"
People,Jesus Christ,2 John,,,"1:3; 1:7"
People,Jesus Christ,Jude,,,"1:1; 1:4; 1:17; 1:21"
People,Jesus Christ,Revelation,,,"1:1-2; 1:5; 1:9; 22:21"

People,Man,Genesis,,,"1:26-27; 2:5-8; 2:15-25; 3:8-10; 3:20; 3:22; 3:24; 4:1"
People,Man,Psalms,,,"1:1"

People,Matthew,Matthew,,,"9:9; 10:3"
People,Matthew,Mark,,,"3:18"
People,Matthew,Luke,,,"6:15"
People,Matthew,Acts,,,"1:13"

People,Mother,Genesis,,,"2:24; 3:20"

People,Nephilim,Genesis,,,"6:2"
People,Nephilim,Numbers,,,"13:33"

People,Rephaim,Genesis,,,"14:5; 15:20"
People,Rephaim,Deuteronomy,,,"2:11; 2:20; 3:11; 3:13"
People,Rephaim,Joshua,,,"12:4; 13:12; 15:8; 17:15; 18:16"
People,Rephaim,2 Samuel,,,"5:18; 5:22"
People,Rephaim,1 Chronicles,,,"11:15; 14:9"
People,Rephaim,Isaiah,,,"17:5"

People,Righteous,Psalms,,,"1:5-6"

People,Sinners,Psalms,,,"1:1; 1:5"

People,Wicked,Psalms,,,"1:1; 1:4-6"

People,Wife,Genesis,,,"2:24-25; 3:8; 3:17; 3:20-21"

People,Woman,Genesis,,,"1:27; 2:22-23; 3:1-8; 3:12-16"
